"name","whitelist","blacklist","wpercentage","bpercentage","sum","wnorm","bnorm","remainder","wrnorm","wbnorm","tentropy","fentropy","centropy","gain"
"UPX_290_LZMA_Markus_Oberhumer_Laszlo_Molnar_John_Reiser","50","6397","0.000477916","0.03562598","6447","0.007755545","0.9922445","277734","0.3765149","0.6234851","0.06551607","0.955543401","0.935352","0.01388835"
"PEiD_02454_UPX_V2_00_V2_90____Markus_Oberhumer__amp__Laszlo_Molnar__amp__John_Reiser_","111","6838","0.001060972","0.03808198","6949","0.01597352","0.9840265","277232","0.3769767","0.6230233","0.1181926","0.955878734","0.935395","0.01384535"
"UPXV200V290MarkusOberhumerLaszloMolnarJohnReiser","111","6838","0.001060972","0.03808198","6949","0.01597352","0.9840265","277232","0.3769767","0.6230233","0.1181926","0.955878734","0.935395","0.01384535"
"_UPX_V200V290","111","6838","0.001060972","0.03808198","6949","0.01597352","0.9840265","277232","0.3769767","0.6230233","0.1181926","0.955878734","0.935395","0.01384535"
"_UPX_V200V290__Markus_Oberhumer__Laszlo_Molnar__John_Reiser_","111","6837","0.001060972","0.03807641","6948","0.01597582","0.9840242","277233","0.3769753","0.6230247","0.1182063","0.955877748","0.9353973","0.01384303"
"_UPX_V200V300__Markus_Oberhumer__Laszlo_Molnar__John_Reiser_","111","6836","0.001060972","0.03807084","6947","0.01597812","0.9840219","277234","0.376974","0.623026","0.11822","0.955876762","0.9353997","0.0138407"
"_UPX_V200V290__Markus_Oberhumer_amp_Laszlo_Molnar_amp_John_Reiser_","111","6836","0.001060972","0.03807084","6947","0.01597812","0.9840219","277234","0.376974","0.623026","0.11822","0.955876762","0.9353997","0.0138407"
"Delphi_FormShow","1117","11326","0.01067663","0.06307641","12443","0.08976935","0.9102306","271738","0.3808963","0.6191037","0.4356995","0.958672595","0.935774","0.0134664"
"Nrv2x","85","6485","0.000812456","0.03611606","6570","0.0129376","0.9870624","277611","0.3765557","0.6234443","0.09969205","0.955573044","0.9357859","0.0134545"
"Microsoft_Visual_Cpp_v60","1611","12824","0.01539844","0.07141902","14435","0.1116037","0.8883963","269746","0.3818778","0.6181222","0.5047345","0.959357441","0.9362648","0.01297554"
"Microsoft_Visual_Cpp_50","1677","13016","0.01602929","0.07248831","14693","0.114136","0.885864","269488","0.3819984","0.6180015","0.5122666","0.95944125","0.936321","0.01291937"
"Microsoft_Visual_Cpp_v50v60_MFC_additional","1677","13016","0.01602929","0.07248831","14693","0.114136","0.885864","269488","0.3819984","0.6180015","0.5122666","0.95944125","0.936321","0.01291937"
"Borland_Delphi_40","2163","14593","0.02067463","0.08127088","16756","0.1290881","0.8709119","267425","0.383128","0.616872","0.5549319","0.960221291","0.9363245","0.01291592"
"Borland_Delphi_Setup_Module","2163","14593","0.02067463","0.08127088","16756","0.1290881","0.8709119","267425","0.383128","0.616872","0.5549319","0.960221291","0.9363245","0.01291592"
"Borland_Delphi_40_additional","2163","14593","0.02067463","0.08127088","16756","0.1290881","0.8709119","267425","0.383128","0.616872","0.5549319","0.960221291","0.9363245","0.01291592"
"Microsoft_Visual_Cpp","1706","13057","0.01630648","0.07271664","14763","0.1155592","0.8844408","269418","0.3819901","0.6180099","0.5164596","0.959435427","0.9364231","0.01281722"
"StelthPE101BGCorp","0","5397","0","0.03005681","5397","0","1","278784","0.3752762","0.6247238","0","0.954637318","0.9365074","0.01273297"
"_Stelth_PE_101__BGCorp_","0","5397","0","0.03005681","5397","0","1","278784","0.3752762","0.6247238","0","0.954637318","0.9365074","0.01273297"
"PEiD_02408_UPX____www_upx_sourceforge_net_","84","6064","0.000802898","0.03377144","6148","0.01366298","0.986337","278033","0.3759877","0.6240122","0.1041991","0.955158933","0.9367492","0.01249119"
"DES_sbox","382","7620","0.003651275","0.04243707","8002","0.04773806","0.9522619","276179","0.3774328","0.6225672","0.2767096","0.956208658","0.9370753","0.01216512"
"NET_executable","14356","10671","0.1372191","0.0594286","25027","0.5736205","0.4263795","259154","0.3483064","0.6516936","0.9843042","0.932546437","0.9371046","0.01213577"
"NET_executable_","14356","10671","0.1372191","0.0594286","25027","0.5736205","0.4263795","259154","0.3483064","0.6516936","0.9843042","0.932546437","0.9371046","0.01213577"
"Win_Trojan_Fakealert_15","812","9456","0.007761348","0.05266206","10268","0.07908064","0.9209194","273913","0.3789853","0.6210147","0.3989314","0.957322217","0.9371465","0.01209387"
"NeedsAdminAccess","2503","15103","0.02392445","0.08411116","17606","0.1421674","0.8578326","266575","0.3830742","0.6169258","0.5898871","0.960184316","0.9372431","0.01199725"
"Microsoft_Visual_Studio_NET","14399","10807","0.1376301","0.06018601","25206","0.5712529","0.4287471","258975","0.3483811","0.6516189","0.985301","0.932613941","0.9372871","0.01195325"
"Microsoft_Visual_Studio_NET_additional","14399","10807","0.1376301","0.06018601","25206","0.5712529","0.4287471","258975","0.3483811","0.6516189","0.985301","0.932613941","0.9372871","0.01195325"
"Microsoft_Visual_C_v70_Basic_NET","14141","10533","0.1351641","0.05866006","24674","0.5731134","0.4268866","259507","0.3486611","0.6513389","0.9845205","0.93286663","0.9373515","0.0118889"
"PEiD_02452_UPX_v2_0____Markus__Laszlo___Reiser__h__","60","5572","0.000573499","0.03103141","5632","0.01065341","0.9893466","278549","0.3753774","0.6246226","0.08509436","0.954711697","0.9374773","0.01176306"
"UPXv20MarkusLaszloReiser","60","5572","0.000573499","0.03103141","5632","0.01065341","0.9893466","278549","0.3753774","0.6246226","0.08509436","0.954711697","0.9374773","0.01176306"
"PEiD_02453_UPX_v2_0____Markus__Laszlo___Reiser__h__","60","5572","0.000573499","0.03103141","5632","0.01065341","0.9893466","278549","0.3753774","0.6246226","0.08509436","0.954711697","0.9374773","0.01176306"
"_UPX_v20__Markus_Laszlo__Reiser_","60","5571","0.000573499","0.03102584","5631","0.0106553","0.9893447","278550","0.375376","0.624624","0.08510672","0.954710707","0.9374797","0.01176072"
"_UPX_v20__Markus_Laszlo__Reiser_h_","60","5570","0.000573499","0.03102027","5630","0.01065719","0.9893428","278551","0.3753747","0.6246253","0.0851191","0.954709717","0.937482","0.01175839"
"Microsoft_Visual_C_v70_Basic_NET_additional","14038","10491","0.1341796","0.05842615","24529","0.5723022","0.4276978","259652","0.3488631","0.6511369","0.9848633","0.933048601","0.937521","0.0117194"
"PEiD_02407_UPX____www_upx_sourceforge_net_","60","5261","0.000573499","0.0292994","5321","0.01127608","0.9887239","278860","0.3749588","0.6250412","0.08913875","0.954403606","0.9382024","0.01103797"
"TrojanGBotSampleA_Malex","99","5466","0.000946273","0.03044108","5565","0.01778976","0.9822102","278616","0.3751472","0.6248528","0.128844","0.954542385","0.9383731","0.0108673"
"UPX_v0896_v102_v105_v124_Markus_Laszlo_overlay","52","5059","0.000497032","0.02817443","5111","0.01017413","0.9898258","279070","0.3747053","0.6252947","0.08194534","0.95421653","0.9385287","0.01071165"
"UPX_v0896_v102_v105_v124_Markus_Laszlo_overlay_additional","52","5059","0.000497032","0.02817443","5111","0.01017413","0.9898258","279070","0.3747053","0.6252947","0.08194534","0.95421653","0.9385287","0.01071165"
"Delphi_DecodeDate","73","5210","0.000697757","0.02901537","5283","0.01381791","0.9861821","278898","0.3748611","0.6251389","0.1051542","0.95433155","0.9385451","0.01069525"
"BobSoft_Mini_Delphi_BoB_BobSoft_additional","70","5149","0.000669082","0.02867565","5219","0.01341253","0.9865875","278962","0.3747858","0.6252142","0.1026495","0.954276013","0.9386358","0.01060453"
"_UPX__wwwupxsourceforgenet_","78","5143","0.000745548","0.02864224","5221","0.01493967","0.9850603","278960","0.3747598","0.6252402","0.1119963","0.954256823","0.9387828","0.01045764"
"with_sqlite","699","8025","0.006681259","0.04469258","8724","0.0801238","0.9198762","275457","0.3772712","0.6227288","0.4026152","0.956091954","0.9391009","0.01013946"
"PEiD_02401_UPolyX_0_x____Delikon_","79","4973","0.000755107","0.02769548","5052","0.01563737","0.9843626","279129","0.3745293","0.6254706","0.116189","0.95408646","0.9391908","0.01004955"
"PEiD_02414_UPX_2_90__LZMA__","18","4193","0.00017205","0.02335153","4211","0.004274519","0.9957255","279970","0.3736222","0.6263778","0.03979419","0.953412747","0.9398747","0.009365642"
"_Visual_Cpp_2005_Release__Microsoft_","2648","305","0.02531041","0.001698597","2953","0.8967152","0.1032848","281228","0.362599","0.637401","0.4793225","0.944819452","0.9399824","0.00925802"
"PEiD_01051_Microsoft_Visual_Basic_v5_0___v6_0_","96","4714","0.000917598","0.02625306","4810","0.01995842","0.9800416","279371","0.374144","0.6258559","0.141207","0.953800949","0.9400471","0.00919325"
"Borland","1041","8509","0.009950201","0.04738806","9550","0.1090052","0.8909948","274631","0.3771606","0.6228394","0.4969081","0.956011953","0.9405836","0.008656758"
"win_hook","6017","21946","0.05751235","0.122221","27963","0.2151772","0.7848228","256218","0.3848442","0.6151558","0.7512629","0.961391569","0.9407152","0.008525157"
"PEiD_01053_Microsoft_Visual_Basic_v5_0_v6_0_","83","4293","0.00079334","0.02390844","4376","0.01896709","0.9810329","279805","0.3736102","0.6263898","0.1356011","0.953403815","0.9408107","0.008429602"
"DebuggerTiming__Ticks","31627","36920","0.3023007","0.2056137","68547","0.4613914","0.5386086","215634","0.3385088","0.6614912","0.9956947","0.923384546","0.9408264","0.008413969"
"SEH_Save","33621","77048","0.32136","0.4290933","110669","0.3037978","0.6962022","173512","0.4091936","0.5908064","0.8858839","0.976075096","0.9409518","0.00828856"
"keylogger","10251","31328","0.09798224","0.1744709","41579","0.2465427","0.7534572","242602","0.388991","0.611009","0.8057523","0.964145332","0.9409706","0.008269782"
"upx_1x","18","3695","0.00017205","0.02057808","3713","0.004847832","0.9951522","280468","0.3729588","0.6270412","0.04424925","0.952916853","0.9410446","0.00819582"
"UPX290LZMAMarkusOberhumerLaszloMolnarJohnReiser","19","3671","0.000181608","0.02044442","3690","0.005149051","0.9948509","280491","0.3729246","0.6270754","0.04654975","0.952891254","0.9411227","0.008117673"
"_UPX_290_LZMA","19","3671","0.000181608","0.02044442","3690","0.005149051","0.9948509","280491","0.3729246","0.6270754","0.04654975","0.952891254","0.9411227","0.008117673"
"_UPX_290_LZMA_","19","3670","0.000181608","0.02043885","3689","0.005150447","0.9948496","280492","0.3729233","0.6270767","0.04656035","0.952890257","0.941125","0.00811533"
"_UPX_290_LZMA__Markus_Oberhumer_Laszlo_Molnar__John_Reiser_","19","3670","0.000181608","0.02043885","3689","0.005150447","0.9948496","280492","0.3729233","0.6270767","0.04656035","0.952890257","0.941125","0.00811533"
"visual_basic_5_6","74","4065","0.000707315","0.02263867","4139","0.01787871","0.9821213","280042","0.3733262","0.6266739","0.1293585","0.9531918","0.9411929","0.008047423"
"Borland_Delphi_v60_v70","36","3781","0.000344099","0.02105703","3817","0.009431491","0.9905685","280364","0.3730329","0.6269671","0.07700028","0.952972411","0.9412067","0.008033649"
"_Microsoft_Visual_Basic_v50v60_","83","4111","0.00079334","0.02289485","4194","0.01979018","0.9802098","279987","0.3733673","0.6266327","0.1402608","0.953222576","0.9412247","0.008015646"
"Artifact_ORION_aPlib","0","3385","0","0.01885164","3385","0","1","280796","0.3725872","0.6274128","0","0.952637932","0.9412907","0.007949712"
"TrojanPSWTepferSample","0","3383","0","0.0188405","3383","0","1","280798","0.3725846","0.6274154","0","0.952635936","0.9412954","0.007944979"
"malware_windows_pony_stealer","0","3241","0","0.01804968","3241","0","1","280940","0.3723962","0.6276038","0","0.952494237","0.9416313","0.007609047"
"_NET_executable_","7749","5172","0.07406735","0.02880374","12921","0.5997214","0.4002786","271260","0.3571186","0.6428814","0.9711133","0.940265414","0.941668","0.007572378"
"cred_local","1060","7967","0.01013181","0.04436957","9027","0.1174255","0.8825745","275154","0.3763747","0.6236253","0.521915","0.955441285","0.9416704","0.007570034"
"PEiD_01089_Microsoft_Visual_C___8_0_","1749","73","0.01671748","0.000406549","1822","0.9599341","0.04006586","282359","0.3643305","0.6356695","0.2425941","0.94621923","0.941708","0.007532367"
"Borland_Delphi_DLL","5083","18897","0.04858489","0.1052406","23980","0.2119683","0.7880317","260201","0.3825427","0.6174573","0.7452283","0.959818092","0.9417104","0.007529976"
"Borland_Delphi_v40_v50","5083","18897","0.04858489","0.1052406","23980","0.2119683","0.7880317","260201","0.3825427","0.6174573","0.7452283","0.959818092","0.9417104","0.007529976"
"Borland_Delphi_30_","5083","18897","0.04858489","0.1052406","23980","0.2119683","0.7880317","260201","0.3825427","0.6174573","0.7452283","0.959818092","0.9417104","0.007529976"
"Borland_Delphi_v30","5083","18897","0.04858489","0.1052406","23980","0.2119683","0.7880317","260201","0.3825427","0.6174573","0.7452283","0.959818092","0.9417104","0.007529976"
"Borland_Delphi_30_additional","5083","18897","0.04858489","0.1052406","23980","0.2119683","0.7880317","260201","0.3825427","0.6174573","0.7452283","0.959818092","0.9417104","0.007529976"
"network_dns","4684","17917","0.04477113","0.0997828","22601","0.2072475","0.7927525","261580","0.3820514","0.6179486","0.7361884","0.959477973","0.9417197","0.00752069"
"_Microsoft_Visual_Studio_NET_","7770","5241","0.07426807","0.02918801","13011","0.597187","0.402813","271170","0.3571597","0.6428403","0.9725723","0.940300253","0.9417778","0.007462565"
"Netopsystems_FEAD_Optimizer_1","40","3557","0.000382332","0.01980953","3597","0.01112038","0.9888796","280584","0.3727262","0.6272739","0.08813226","0.952742343","0.9417986","0.007441765"
"PEiD_02411_UPX_2_00_3_0X____Markus_Oberhumer___Laszlo_Molnar___John_Reiser_","52","3629","0.000497032","0.02021052","3681","0.0141266","0.9858734","280500","0.372795","0.627205","0.1070499","0.952794025","0.9418391","0.007401279"
"Win_Trojan_SdBot_1947","17","3313","0.000162491","0.01845066","3330","0.005105105","0.9948949","280851","0.3724537","0.6275463","0.04621575","0.95253751","0.9419174","0.007323033"
"Win_Trojan_Downloader_67957","61","3541","0.000583057","0.01972043","3602","0.01693504","0.9830649","280579","0.372658","0.627342","0.1238672","0.95269111","0.9421858","0.007054621"
"escalate_priv","11122","31904","0.1063075","0.1776788","43026","0.2584949","0.7415051","241155","0.3877133","0.6122867","0.8244666","0.963307992","0.9422869","0.006953452"
"Win_Adware_Domaiq_1","0","2833","0","0.01577746","2833","0","1","281348","0.3718562","0.6281438","0","0.952086682","0.9425953","0.006645039"
"DebuggerCheck__API","18807","19859","0.1797631","0.1105981","38666","0.4863963","0.5136037","245515","0.3495265","0.6504735","0.9994659","0.933644474","0.9426003","0.006640148"
"anti_debug__IsDebuggerPresent__8_byt_STR_17_","18807","19860","0.1797631","0.1106037","38667","0.4863837","0.5136163","245514","0.3495279","0.650472","0.999465","0.933645749","0.9426014","0.006638948"
"DESX_pc2__8_byt_48_","72","3421","0.000688198","0.01905213","3493","0.02061265","0.9793873","280688","0.3724741","0.6275259","0.1448667","0.95255282","0.9426252","0.006615193"
"Str_Win32_Http_API","5185","18186","0.04955984","0.1012809","23371","0.2218561","0.7781439","260810","0.3812584","0.6187416","0.7635423","0.958925936","0.9428576","0.006382752"
"Win_Trojan_Ramnit_1847","0","2580","0","0.01436846","2580","0","1","281601","0.3715221","0.6284779","0","0.95183365","0.9431922","0.006048152"
"PEiD_01056_Microsoft_Visual_Basic_v6_0_","48","2988","0.000458799","0.01664068","3036","0.01581028","0.9841897","281145","0.371954","0.628046","0.1172209","0.952160599","0.9432406","0.005999709"
"Armadillo_v4x","2498","11095","0.02387666","0.06178993","13593","0.1837711","0.8162289","270588","0.3774114","0.6225886","0.6882576","0.956193251","0.9433773","0.005863069"
"_PESHiELD_v02__v02b__v02b2_","35","2829","0.000334541","0.01575518","2864","0.01222067","0.9877793","281317","0.3717728","0.6282272","0.09517918","0.952023553","0.9433882","0.005852167"
"PEiD_01050_Microsoft_Visual_Basic_5_0_","39","2838","0.000372774","0.0158053","2877","0.01355579","0.9864442","281304","0.3717757","0.6282243","0.1035367","0.952025794","0.9434358","0.005804536"
"PEiD_01054_Microsoft_Visual_Basic_v5_0_","39","2838","0.000372774","0.0158053","2877","0.01355579","0.9864442","281304","0.3717757","0.6282243","0.1035367","0.952025794","0.9434358","0.005804536"
"vb_native","80","3100","0.000764665","0.01726442","3180","0.02515723","0.9748428","281001","0.3720307","0.6279693","0.1694912","0.95221857","0.9434598","0.005780559"
"Armadillo","1710","8796","0.01634471","0.04898641","10506","0.1627641","0.8372359","273675","0.3760336","0.6239664","0.6408814","0.955192456","0.9435726","0.005667803"
"network_dropper","843","6092","0.008057656","0.03392738","6935","0.1215573","0.8784427","277246","0.3743174","0.6256826","0.5338208","0.953929511","0.9436774","0.005562965"
"PEiD_00015__NET_executable_","7770","6178","0.07426807","0.03440633","13948","0.5570691","0.4429309","270233","0.3583981","0.6416019","0.9905821","0.941345472","0.9437621","0.005478295"
"PEiD_00351_Borland_Delphi_v6_0_","576","5110","0.005505587","0.02845845","5686","0.1013014","0.8986986","278495","0.3735974","0.6264026","0.4731075","0.953394256","0.9437845","0.005455871"
"MSLRH_V031_emadicius","19","2527","0.000181608","0.01407329","2546","0.007462687","0.9925373","281635","0.3714098","0.6285902","0.06345811","0.95174843","0.9437901","0.005450203"
"UPX_v0896_v102_v105_v122_Delphi_stub_Laszlo_Markus","19","2527","0.000181608","0.01407329","2546","0.007462687","0.9925373","281635","0.3714098","0.6285902","0.06345811","0.95174843","0.9437901","0.005450203"
"UPX_v0896_v102_v105_v122_Delphi_stub_additional","19","2527","0.000181608","0.01407329","2546","0.007462687","0.9925373","281635","0.3714098","0.6285902","0.06345811","0.95174843","0.9437901","0.005450203"
"UPX_v0896_v102_v105_v122_Delphi_stub","19","2527","0.000181608","0.01407329","2546","0.007462687","0.9925373","281635","0.3714098","0.6285902","0.06345811","0.95174843","0.9437901","0.005450203"
"PEiD_00138_Armadillo_v1_71_","1630","8407","0.01558005","0.04682","10037","0.1623991","0.8376009","274144","0.3756821","0.6243179","0.6400182","0.954935273","0.9438127","0.005427664"
"armd71","1629","8401","0.01557049","0.04678659","10030","0.1624128","0.8375872","274151","0.3756762","0.6243238","0.6400505","0.954930916","0.9438174","0.005422971"
"PEiD_01128_Microsoft_Visual_Studio__NET_","7791","6248","0.0744688","0.03479617","14039","0.5549541","0.4450459","270142","0.3584411","0.6415589","0.9912686","0.941381586","0.9438461","0.005394283"
